easy_percent_of_time_not_sure_chosen,easy_accuracy,easy_precision,easy_recall,easy_f1,medium_percent_of_time_not_sure_chosen,medium_accuracy,medium_precision,medium_recall,medium_f1,hard_percent_of_time_not_sure_chosen,hard_accuracy,hard_precision,hard_recall,hard_f1,Model Name,Knowledge,precision,recall,f1,overall_percent_of_time_not_sure_chosen
0.222,0.723,0.717,0.763,0.74,0.207,0.634,0.625,0.685,0.654,0.232,0.453,0.493,0.479,0.486,Qwen/Qwen3-4B-Instruct-2507,No,0.6,0.62,0.61,0.222
0.167,0.706,0.71,0.728,0.719,0.191,0.677,0.693,0.698,0.695,0.225,0.503,0.589,0.469,0.522,Qwen/Qwen3-4B-Instruct-2507,Yes,0.66,0.61,0.634,0.199
0.208,0.677,0.643,0.775,0.703,0.194,0.699,0.739,0.734,0.737,0.24,0.532,0.548,0.531,0.539,Qwen/Qwen3-4B-Instruct-2507,No,0.641,0.666,0.654,0.217
0.178,0.72,0.714,0.745,0.729,0.21,0.673,0.643,0.708,0.674,0.232,0.492,0.464,0.436,0.449,Qwen/Qwen3-4B-Instruct-2507,Yes,0.601,0.613,0.607,0.211
0.01,0.442,0.442,0.909,0.595,0.031,0.509,0.521,0.895,0.659,0.019,0.487,0.504,0.908,0.648,google/medgemma-1.5-4b-it,No,0.492,0.904,0.637,0.021
0.003,0.457,0.465,0.938,0.622,0.0,0.518,0.524,0.952,0.676,0.004,0.472,0.48,0.949,0.638,google/medgemma-1.5-4b-it,Yes,0.49,0.947,0.646,0.003
0.0,0.489,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.0,0.507,0.0,0.0,0.0,gpt-5-mini,No,0.0,0.0,0.0,0.0
0.467,0.808,0.919,0.712,0.802,0.437,0.782,0.901,0.575,0.702,0.529,0.416,0.53,0.226,0.317,google/medgemma-27b-text-it,No,0.796,0.469,0.59,0.483
0.496,0.746,0.875,0.538,0.666,0.493,0.726,1.0,0.38,0.551,0.551,0.459,0.392,0.118,0.181,google/medgemma-27b-text-it,Yes,0.768,0.318,0.45,0.518
0.036,0.462,0.475,0.907,0.624,0.028,0.485,0.494,0.916,0.642,0.022,0.501,0.504,0.92,0.651,google/medgemma-1.5-4b-it,No,0.493,0.915,0.641,0.028
0.0,0.543,0.543,1.0,0.704,0.0,0.49,0.49,1.0,0.658,0.0,0.482,0.482,1.0,0.651,google/medgemma-1.5-4b-it,Yes,0.502,1.0,0.668,0.0
0.189,0.734,0.751,0.793,0.772,0.172,0.661,0.648,0.712,0.678,0.235,0.49,0.512,0.496,0.504,Qwen/Qwen3-4B-Instruct-2507,No,0.63,0.653,0.641,0.203
0.047,0.881,0.843,0.907,0.874,0.081,0.869,0.893,0.871,0.881,0.075,0.761,0.736,0.761,0.748,Qwen/Qwen3-4B-Instruct-2507,Yes,0.818,0.838,0.828,0.07
0.018,0.468,0.474,0.915,0.624,0.012,0.522,0.539,0.907,0.676,0.022,0.436,0.448,0.887,0.596,google/medgemma-1.5-4b-it,No,0.484,0.902,0.63,0.018
0.0,0.496,0.496,1.0,0.663,0.0,0.518,0.518,1.0,0.683,0.002,0.525,0.525,1.0,0.689,google/medgemma-1.5-4b-it,Yes,0.515,1.0,0.68,0.001
0.427,0.789,0.822,0.698,0.755,0.506,0.777,0.854,0.594,0.7,0.517,0.436,0.547,0.25,0.343,google/medgemma-27b-text-it,No,0.742,0.468,0.574,0.489
0.014,0.925,0.909,0.948,0.928,0.053,0.9,0.896,0.883,0.889,0.053,0.808,0.848,0.773,0.809,google/medgemma-27b-text-it,Yes,0.881,0.855,0.868,0.043
