rule_id,priority,clinical_scenario,activation_condition,recommendation,execute_actions,evidence_strength,notes
R01,100,ANY,"Missing one or more required fields: clinical_scenario OR surgical_candidacy OR biopsy_status OR recurrence_status","INSUFFICIENT_DATA","Request missing fields; stop evaluation","N/A","Input gate"
R02,90,INITIAL_DIAGNOSIS,"clinical_scenario=INITIAL_DIAGNOSIS","NOT_RECOMMENDED","Do not use PET/PET-CT for initial diagnosis; cite biopsy as gold standard","MODERATE","Default diagnosis rule"
R03,85,INITIAL_DIAGNOSIS_EXCEPTION,"clinical_scenario=INITIAL_DIAGNOSIS AND (biopsy_status=INCONCLUSIVE OR biopsy_status=NOT_FEASIBLE) AND positive_pet_would_change_to_curative_resection=YES","CONDITIONAL_CONSIDER","Allow PET/PET-CT exception; document direct surgical impact requirement","LOW_TO_MODERATE","Exception override to R02"
R04,80,NEUROENDOCRINE_CAUTION,"suspected_tumor_type=NEUROENDOCRINE","CAUTION","Attach warning: FDG-negative disease possible; negative PET does not exclude disease","MODERATE","Modifier; does not independently recommend PET"
R05,70,PREOP_STAGING,"clinical_scenario=PREOP_STAGING AND surgical_candidacy=YES","RECOMMENDED","Recommend PET/PET-CT for staging; focus on distant metastasis detection and surgical plan changes","LOW_TO_MODERATE","Conditional positive recommendation"
R06,65,PREOP_STAGING_NON_CANDIDATE,"clinical_scenario=PREOP_STAGING AND surgical_candidacy=NO","NOT_RECOMMENDED","Do not recommend routine PET under this guideline context","LOW_TO_MODERATE","Negative counterpart to R05"
R07,60,TREATMENT_RESPONSE,"clinical_scenario=TREATMENT_RESPONSE","NO_RECOMMENDATION","State evidence insufficient for or against PET in treatment response assessment","LOW","Neutral evidence-limited rule"
R08,58,INCOMPLETE_RESECTION_RESPONSE,"clinical_scenario=TREATMENT_RESPONSE AND post_resection_status=INCOMPLETE_RESECTION","NOT_RECOMMENDED","State PET cannot be recommended after incomplete resection","LOW","Specific override within response context"
R09,50,RECURRENCE_RESTAGING_ROUTINE,"clinical_scenario IN (RECURRENCE, RESTAGING) AND care_context=ROUTINE","NOT_RECOMMENDED","Do not recommend routine PET for recurrence/restaging","LOW","Outcome impact not established"
R10,48,RECURRENCE_RESTAGING_TRIAL,"clinical_scenario IN (RECURRENCE, RESTAGING) AND care_context=CLINICAL_TRIAL","CONDITIONAL_CONSIDER","Allow PET only in trial protocol; require trial documentation","LOW","Restricted permissive rule"
R11,45,SOLITARY_MET_AT_RECURRENCE,"clinical_scenario=SOLITARY_METASTASIS_AT_RECURRENCE","NO_RECOMMENDATION","Report no direct evidence; no recommendation possible","VERY_LOW","Evidence absent"
R12,20,GLOBAL_EVIDENCE_NOTE,"always=true","APPEND_QUALIFIER","Append heterogeneity/small-sample/limited-randomized-evidence disclaimer","N/A","Applies to all outputs"
R13,10,GLOBAL_SAFETY,"always=true","APPEND_SAFETY","Append decision-support-only notice; log clinician override if discordant","N/A","Final safety wrapper"
